ZONE,X_COORD,Y_COORD,Z_COORD,AREA_TYPE,NOTES
130,685215.8,3369034.7,0,8,0
131,686136.5,3368283.8,0,8,0
132,686452.1,3367087.5,0,8,0
133,687817.7,3367153,0,8,0
134,687261.5,3368661.9,0,8,0
135,686937.7,3369508,0,8,0
136,686092.9,3369355.9,0,8,0
137,685836.1,3370562.2,0,8,0
138,686891.4,3370640.6,0,8,0
139,685804,3371878.2,0,8,0
140,687544.3,3372166.3,0,8,0
141,688012.3,3370844.1,0,8,0
142,689346.8,3371037.9,0,8,0
143,687914.3,3369708.3,0,8,0
144,688896.8,3369347.7,0,8,0
145,690525.3,3370120.8,0,8,0
146,690631.2,3368519.9,0,8,0
147,689053.9,3368499.7,0,8,0
148,689658.7,3367398.8,0,8,0
149,691037.9,3367046.3,0,8,0
150,689571.8,3366285.8,0,8,0
151,692289.3,3366161.5,0,8,0
152,691406,3364562.9,0,8,0
153,689477.7,3364829.6,0,8,0
154,690472.9,3362930.3,0,8,0
155,692381.4,3361861.1,0,8,0
156,694100.2,3361692.4,0,8,0
157,697776.2,3359820.8,0,8,0
158,696511.3,3362612.7,0,8,0
159,693575,3364823.9,0,8,0
160,694167.7,3365652,0,8,0
161,693782.4,3366561.2,0,8,0
162,692995.6,3368400.7,0,8,0
163,692263.6,3370783.3,0,8,0
164,690896.6,3371662.7,0,8,0
165,690734,3372641.4,0,8,0
166,693520.2,3373044.7,0,8,0
167,692317.8,3374428.8,0,8,0
168,690236.7,3374066.5,0,8,0
169,687715.8,3373786.4,0,8,0
170,685368.9,3373104.3,0,8,0
171,682793.8,3373138.4,0,8,0
172,682925.9,3373480,0,8,0
173,680377.6,3372935.3,0,8,0
174,678994.7,3372891.1,0,8,0
175,677738,3372827,0,8,0
176,676399.4,3372761.8,0,8,0
177,674634.7,3372380.1,0,8,0
178,675516.5,3372630.6,0,8,0
179,675392.3,3373882.6,0,8,0
180,674010.1,3374175.5,0,8,0
181,674991,3374838.9,0,8,0
182,673867.8,3376753.6,0,8,0
183,673604.7,3377453.4,0,8,0
184,675265.1,3377239.6,0,8,0
185,676207.4,3377312.6,0,8,0
186,675918.3,3376143.9,0,8,0
187,676049.8,3375045.2,0,8,0
188,675898.5,3373786.8,0,8,0
189,676462.3,3373752.5,0,8,0
190,677692.3,3373771.9,0,8,0
191,677708.8,3374553.8,0,8,0
192,676575.6,3374561,0,8,0
193,676804.7,3375198.3,0,8,0
194,677784.5,3375227.4,0,8,0
195,678196.4,3376088.4,0,8,0
196,677033.1,3376182.1,0,8,0
197,677175.6,3377410.8,0,8,0
198,678950.8,3377797.5,0,8,0
199,679017.6,3376696.4,0,8,0
200,679109.7,3375318,0,8,0
201,679294.7,3374646.8,0,8,0
202,679088.2,3373842.6,0,8,0
203,680158.7,3373877.6,0,8,0
204,681086.3,3373956.1,0,8,0
205,680697.9,3375245.4,0,8,0
206,680687.8,3376690.4,0,8,0
207,682298.7,3377787.2,0,8,0
208,682305.6,3376429.6,0,8,0
209,682588.3,3375340,0,8,0
210,682404,3374092.6,0,8,0
211,684437,3373764.9,0,8,0
212,684635.3,3375494,0,8,0
213,685595.8,3374257,0,8,0
214,687062.2,3374815.7,0,8,0
215,687582.4,3375830,0,8,0
216,686013.3,3377313.4,0,8,0
217,684764.7,3378992.6,0,8,0
218,687141.5,3380176.8,0,8,0
219,688397.2,3379726.1,0,8,0
220,687825.1,3377551,0,8,0
221,689620.6,3375565.3,0,8,0
222,690539.1,3376817.8,0,8,0
223,693201.5,3376500.9,0,8,0
224,691122.8,3379104.5,0,8,0
225,689471,3379144.6,0,8,0
226,689265.3,3381554.6,0,8,0
227,691714,3381778.5,0,8,0
228,693273.3,3383580.6,0,8,0
229,690800.6,3384468,0,8,0
230,689041.6,3383904.7,0,8,0
231,687991.5,3383570.5,0,8,0
232,687465.8,3382077.8,0,8,0
233,685078.7,3381292.2,0,8,0
234,682876.8,3380619.6,0,8,0
235,681620.7,3380863.5,0,8,0
236,679993.8,3380843.4,0,8,0
237,679464.4,3379272.4,0,8,0
238,677165.7,3379456.2,0,8,0
