trip_ID,O,D,trip_start,distance,travel_time,mode,passengers
183,248,230,518,2947,73.0,1,1
184,248,230,429,2947,73.0,1,1
185,248,230,439,2947,73.0,1,1
186,248,230,565,2947,73.0,1,1
187,248,230,554,2947,73.0,1,1
188,248,230,528,2947,73.0,1,1
189,248,230,383,2947,73.0,1,1
190,248,230,564,2947,73.0,1,1
191,248,230,321,2947,73.0,1,1
192,248,230,529,2947,73.0,1,1
193,248,230,559,2947,73.0,1,1
194,248,230,464,2947,73.0,1,1
195,248,230,548,2947,73.0,1,1
196,248,230,592,2947,73.0,1,1
197,248,230,317,2947,73.0,1,1
198,248,230,359,2947,73.0,1,1
199,248,230,435,2947,73.0,1,1
200,248,230,415,2947,73.0,2,2
201,248,230,369,2947,73.0,1,1
202,248,230,357,2947,73.0,1,1
203,248,230,544,2947,73.0,1,1
204,248,230,567,2947,73.0,1,1
205,248,230,507,2947,73.0,1,1
206,248,230,468,2947,73.0,1,1
207,248,230,537,2947,73.0,1,1
208,248,230,422,2947,73.0,1,1
209,248,230,340,2947,73.0,1,1
210,248,230,577,2947,73.0,1,1
211,248,230,411,2947,73.0,1,1
212,248,230,520,2947,73.0,1,1
213,248,230,390,2947,73.0,2,3
214,248,230,545,2947,73.0,1,1
215,248,230,347,2947,73.0,2,3
216,248,230,598,2947,73.0,1,1
217,248,230,494,2947,73.0,1,1
218,248,230,458,2947,73.0,1,1
219,248,230,538,2947,73.0,1,1
220,248,230,513,2947,73.0,1,1
221,248,230,323,2947,73.0,1,1
222,248,230,552,2947,73.0,1,1
223,248,230,532,2947,73.0,1,1
224,248,230,417,2947,73.0,1,1
225,248,230,578,2947,73.0,1,1
226,248,230,511,2947,73.0,1,1
227,248,230,695,2947,75.0,1,1
228,248,230,804,2947,75.0,1,1
229,248,230,758,2947,75.0,1,1
230,248,230,879,2947,75.0,1,1
231,248,230,897,2947,75.0,1,1
232,248,230,604,2947,75.0,1,1
233,248,230,881,2947,75.0,1,1
234,248,230,656,2947,75.0,1,1
235,248,230,607,2947,75.0,1,1
236,248,230,867,2947,75.0,1,1
237,248,230,661,2947,75.0,1,1
238,248,230,880,2947,75.0,1,1
239,248,230,877,2947,75.0,1,1
240,248,230,709,2947,75.0,1,1
241,248,230,736,2947,75.0,1,1
242,248,230,626,2947,75.0,1,1
243,248,230,609,2947,75.0,1,1
244,248,230,722,2947,75.0,1,1
245,248,230,865,2947,75.0,1,1
246,248,230,678,2947,75.0,1,1
247,248,230,708,2947,75.0,1,1
248,248,230,760,2947,75.0,1,1
249,248,230,776,2947,75.0,1,1
250,248,230,639,2947,75.0,1,1
251,248,230,713,2947,75.0,1,1
252,248,230,853,2947,75.0,1,1
253,248,230,881,2947,75.0,2,2
254,248,230,606,2947,75.0,1,1
255,248,230,665,2947,75.0,1,1
256,248,230,633,2947,75.0,1,1
257,248,230,731,2947,75.0,1,1
258,248,230,795,2947,75.0,1,1
259,248,230,840,2947,75.0,1,1
260,248,230,876,2947,75.0,1,1
261,248,230,761,2947,75.0,1,1
262,248,230,732,2947,75.0,1,1
263,248,230,785,2947,75.0,1,1
264,248,230,736,2947,75.0,2,1
265,248,230,745,2947,75.0,1,1
266,248,230,882,2947,75.0,1,1
267,248,230,609,2947,75.0,1,1
268,248,230,640,2947,75.0,1,1
269,248,230,798,2947,75.0,1,1
270,248,230,636,2947,75.0,1,1
271,248,230,688,2947,75.0,1,1
272,248,230,833,2947,75.0,1,1
273,248,230,862,2947,75.0,1,1
274,248,230,659,2947,75.0,1,1
275,248,230,873,2947,75.0,1,1
276,248,230,662,2947,75.0,1,1
277,248,230,717,2947,75.0,1,1
278,248,230,699,2947,75.0,1,1
279,248,230,972,2947,88.0,1,1
280,248,230,1138,2947,88.0,1,1
281,248,230,919,2947,88.0,1,1
282,248,230,963,2947,88.0,1,1
283,248,230,1183,2947,88.0,1,1
284,248,230,1116,2947,88.0,1,1
285,248,230,1010,2947,88.0,1,1
286,248,230,1058,2947,88.0,1,1
287,248,230,1192,2947,88.0,1,1
288,248,230,916,2947,88.0,1,1
289,248,230,945,2947,88.0,1,1
290,248,230,1082,2947,88.0,1,1
291,248,230,1160,2947,88.0,1,1
292,248,230,1086,2947,88.0,1,1
293,248,230,993,2947,88.0,1,1
294,248,230,1121,2947,88.0,1,1
295,248,230,927,2947,88.0,1,1
296,248,230,945,2947,88.0,1,1
297,248,230,1198,2947,88.0,1,1
298,248,230,1061,2947,88.0,1,1
299,248,230,1040,2947,88.0,1,1
300,248,230,1158,2947,88.0,1,1
301,248,230,1041,2947,88.0,1,1
302,248,230,1104,2947,88.0,1,1
303,248,230,991,2947,88.0,1,1
304,248,230,1145,2947,88.0,1,1
305,248,230,979,2947,88.0,1,1
306,248,230,942,2947,88.0,1,1
307,248,230,922,2947,88.0,1,1
308,248,230,1102,2947,88.0,1,1
309,248,230,1182,2947,88.0,1,1
310,248,230,1122,2947,88.0,1,1
311,248,230,1064,2947,88.0,1,1
312,248,230,938,2947,88.0,1,1
313,248,230,934,2947,88.0,1,1
314,248,230,937,2947,88.0,1,1
315,248,230,1182,2947,88.0,1,1
316,248,230,1016,2947,88.0,1,1
317,248,230,1032,2947,88.0,1,1
318,248,230,1051,2947,88.0,1,1
319,248,230,1045,2947,88.0,1,1
320,248,230,1005,2947,88.0,1,1
321,248,230,1053,2947,88.0,1,1
322,248,230,1069,2947,88.0,1,1
323,248,230,959,2947,88.0,1,1
324,248,230,998,2947,88.0,1,1
325,248,230,1148,2947,88.0,1,1
326,248,230,945,2947,88.0,2,2
327,248,230,1033,2947,88.0,1,1
328,248,230,1039,2947,88.0,2,1
329,248,230,1052,2947,88.0,1,1
330,248,230,993,2947,88.0,1,1
331,248,230,1491,2947,84.0,1,1
332,248,230,1395,2947,84.0,1,1
333,248,230,1467,2947,84.0,1,1
334,248,230,1325,2947,84.0,1,1
335,248,230,1234,2947,84.0,1,1
336,248,230,1272,2947,84.0,1,1
337,248,230,1398,2947,84.0,1,1
338,248,230,1469,2947,84.0,1,1
339,248,230,1478,2947,84.0,1,1
340,248,230,1451,2947,84.0,1,1
341,248,230,1323,2947,84.0,1,1
342,248,230,1401,2947,84.0,1,1
343,248,230,1330,2947,84.0,1,1
344,248,230,1312,2947,84.0,1,1
345,248,230,1288,2947,84.0,1,1
346,248,230,1395,2947,84.0,1,1
347,248,230,1458,2947,84.0,1,1
348,248,230,1206,2947,84.0,1,1
349,248,230,1335,2947,84.0,1,1
350,248,230,1324,2947,84.0,1,1
351,248,230,1321,2947,84.0,2,1
352,248,230,1213,2947,84.0,1,1
353,248,230,1263,2947,84.0,1,1
354,248,230,1484,2947,84.0,1,1
355,248,230,1467,2947,84.0,1,1
356,248,230,1302,2947,84.0,1,1
357,248,230,1330,2947,84.0,2,1
358,248,230,1312,2947,84.0,1,1
359,248,230,1432,2947,84.0,1,1
360,248,230,1295,2947,84.0,1,1
361,248,230,1209,2947,84.0,1,1
362,248,230,1475,2947,84.0,1,1
363,248,230,1464,2947,84.0,1,1
364,248,230,1355,2947,84.0,1,1
365,248,230,1443,2947,84.0,1,1
366,248,230,1415,2947,84.0,1,1
367,248,230,1499,2947,84.0,1,1
368,248,230,1395,2947,84.0,1,1
369,248,230,1403,2947,84.0,1,1
370,248,230,1376,2947,84.0,1,1
371,248,230,1426,2947,84.0,1,1
372,248,230,1214,2947,84.0,1,1
373,248,230,1208,2947,84.0,1,1
374,248,230,1210,2947,84.0,1,1
375,248,230,1347,2947,84.0,1,1
376,248,230,1244,2947,84.0,1,1
377,248,230,1257,2947,84.0,1,1
378,248,230,1347,2947,84.0,1,1
379,248,230,1410,2947,84.0,1,1
380,248,230,1313,2947,84.0,1,1
381,248,230,1354,2947,84.0,1,1
382,248,230,1458,2947,84.0,1,1
383,248,230,1661,2947,81.0,1,1
