NODE,X_COORD,Y_COORD,Z_COORD
204,758465.4,3312662.8,0
205,758143.5,3312669.7,0
206,758787.2,3312651.1,0
207,756264.5,3317848.7,0
208,756583.1,3317895.6,0
209,756675,3317978.6,0
210,756357.3,3317926.2,0
211,759430.8,3319780.3,0
212,759363.3,3319759.3,0
213,754705.4,3317496.7,0
214,754996.4,3317630.4,0
215,755089,3317704.7,0
216,754784.7,3317604.9,0
217,754144.1,3316729.7,0
218,754291.7,3317015.6,0
219,754463.7,3317286.5,0
220,754316.9,3317177.6,0
221,754170.7,3316891.3,0
222,754058.2,3316574.3,0
223,754032.5,3316600.6,0
224,753969.5,3316379.4,0
225,753930.3,3316386.7,0
226,754520.8,3317422.9,0
227,755627.8,3317752,0
228,755946.1,3317800.7,0
229,756039.5,3317874.5,0
230,755721.7,3317823,0
231,755310.1,3317700.2,0
232,755403.7,3317772.5,0
233,757211.3,3318034.2,0
234,757510.3,3318150.9,0
235,756990.8,3318040.6,0
236,758071,3318460.4,0
237,759262.6,3318897.6,0
238,757810.5,3319292.2,0
239,758275.6,3318659,0
240,757779.2,3319241.2,0
241,758124.3,3318587.4,0
242,757875.8,3318413.4,0
243,759129.2,3319538.8,0
244,756900,3317952.2,0
245,757208.9,3319458.7,0
246,757593.2,3318259.5,0
247,757301.8,3318122.5,0
248,757802.4,3318286.6,0
249,758506.6,3318883.3,0
250,758737.7,3319107.6,0
251,758593.2,3319028.6,0
252,758358.8,3318808.1,0
253,758708.4,3319101.7,0
254,758941.6,3318923.7,0
255,758968.7,3319331.8,0
256,759244,3318994.2,0
257,759074.7,3319258.1,0
258,759022.9,3319433.1,0
259,758827.7,3319249.3,0
260,758867.1,3319352.4,0
261,759464.1,3318831.5,0
262,759199.7,3319556,0
263,759219.8,3319537.8,0
264,765938.2,3312274.6,0
265,766259.7,3312257.8,0
266,765720.1,3315059.2,0
267,766722.3,3313668.4,0
268,765282.7,3318106.6,0
269,766166.8,3317612.3,0
270,765908.7,3318951.3,0
271,766211.5,3318881.1,0
272,765984.5,3320381.8,0
273,766039.1,3320629.3,0
274,765875.4,3322703.7,0
276,765777.7,3323000.6,0
277,766056.6,3323017.8,0
278,765984.1,3323001.3,0
279,765648.8,3323405.3,0
280,766200.3,3323372.4,0
281,766373.1,3312274.3,0
282,766051.6,3312290.3,0
283,767159.5,3316417.1,0
284,768949.5,3316145.8,0
285,769719.3,3316976.8,0
286,768909.3,3316447,0
287,768825.2,3316753.7,0
288,771973.3,3316448.4,0
289,772064.4,3316609,0
290,766214.7,3318901,0
291,766005.8,3318949.9,0
292,768805.5,3316734.7,0
293,768874.9,3316485.3,0
294,766033.7,3320703.3,0
295,765967.2,3320388.3,0
296,766181.4,3322733.4,0
297,765876.8,3322738.2,0
298,765941.4,3323072.4,0
299,765753.3,3323037.8,0
300,766074.6,3323050.7,0
301,766085.9,3323088.2,0
302,765923,3322798.1,0
303,769935.4,3316739.2,0
304,769828.5,3316101.4,0
305,774408.5,3322515.4,0
306,774409.9,3322265.6,0
307,770888.3,3317157.8,0
308,771127.2,3316514.5,0
309,771462.9,3317363.6,0
310,771954.1,3316464.7,0
311,772016.8,3316566,0
312,766088.1,3322979.9,0
313,762827.5,3312420,0
314,763148.9,3312400.8,0
315,763156.5,3312425.1,0
316,762967.7,3312435.7,0
317,761220.2,3312516.3,0
318,761541.7,3312497,0
319,761681.7,3312507.9,0
320,761360.1,3312525.9,0
321,760577.1,3312548.9,0
322,760898.7,3312532.9,0
323,760717,3312561.2,0
324,760395.5,3312577.4,0
325,760255.4,3312565,0
326,761038.6,3312543.9,0
327,762184.6,3312458.5,0
328,762506,3312439.3,0
329,762324.7,3312471.8,0
330,762003.1,3312489.8,0
331,761863.1,3312477.8,0
332,762646.2,3312453.7,0
333,764330.1,3312354.9,0
334,764760.5,3312332.5,0
335,764765,3312352.7,0
336,764443.2,3312367.2,0
337,763686.6,3312380.7,0
338,764008.4,3312368.6,0
339,764121.5,3312381.6,0
340,763683.2,3312403.5,0
341,763364.8,3312392.7,0
