SIGNAL,TIMING,TYPE,CYCLE,OFFSET,PHASES
PHASE,BARRIER,RING,POSITION,MIN_GREEN,MAX_GREEN,EXTENSION,YELLOW,ALL_RED
1,1,1,1,17,17,0,3,1
2,1,1,2,35,35,0,3,1
811,1,TIMED,60,27,2
1,1,1,1,26,26,0,3,1
2,1,1,2,26,26,0,3,1
815,1,TIMED,60,8,2
1,1,1,1,26,26,0,3,1
2,1,1,2,26,26,0,3,1
822,1,TIMED,60,4,2
1,1,1,1,16,16,0,3,1
2,1,1,2,36,36,0,3,1
823,1,TIMED,60,31,3
1,1,1,1,7,7,0,0,0
2,1,1,2,14,14,0,3,1
3,1,1,3,31,31,0,3,1
841,1,TIMED,60,39,2
1,1,1,1,15,15,0,3,1
2,1,1,2,37,37,0,3,1
859,1,TIMED,60,51,2
1,1,1,1,5,5,0,3,1
2,1,1,2,47,47,0,3,1
882,1,TIMED,60,0,4
1,1,1,1,7,7,0,0,0
2,1,1,2,30,30,0,3,1
3,1,1,3,8,8,0,0,0
4,1,1,4,7,7,0,3,1
886,1,TIMED,60,45,4
1,1,1,1,17,17,0,0,0
2,1,1,2,18,18,0,3,1
3,1,1,3,8,8,0,0,0
4,1,1,4,9,9,0,3,1
887,1,TIMED,60,33,3
1,1,1,1,7,7,0,0,0
2,1,1,2,21,21,0,3,1
3,1,1,3,24,24,0,3,1
898,1,TIMED,60,23,3
1,1,1,1,6,6,0,0,0
2,1,1,2,20,20,0,3,1
3,1,1,3,26,26,0,3,1
912,1,TIMED,60,19,2
1,1,1,1,13,13,0,3,1
2,1,1,2,39,39,0,3,1
934,1,TIMED,60,39,4
1,1,1,1,9,9,0,0,0
2,1,1,2,8,8,0,3,1
3,1,1,3,16,16,0,3,1
4,1,1,4,15,15,0,3,1
941,1,TIMED,60,44,4
1,1,1,1,14,14,0,3,1
2,1,1,2,8,8,0,3,1
3,1,1,3,12,12,0,3,1
4,1,1,4,10,10,0,3,1
951,1,TIMED,60,20,2
1,1,1,1,15,15,0,3,1
2,1,1,2,37,37,0,3,1
954,1,TIMED,60,12,3
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
965,1,TIMED,60,6,4
1,1,1,1,9,9,0,0,0
2,1,1,2,8,8,0,3,1
3,1,1,3,18,18,0,0,0
4,1,1,4,17,17,0,3,1
969,1,TIMED,60,43,3
1,1,1,1,22,22,0,3,1
2,1,1,2,15,15,0,0,0
3,1,1,3,15,15,0,3,1
970,1,TIMED,60,42,3
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
973,1,TIMED,60,43,3
1,1,1,1,21,21,0,0,0
2,1,1,2,21,21,0,3,1
3,1,1,3,10,10,0,3,1
974,1,TIMED,60,8,4
1,1,1,1,17,17,0,0,0
2,1,1,2,18,18,0,3,1
3,1,1,3,8,8,0,0,0
4,1,1,4,9,9,0,3,1
975,1,TIMED,60,56,3
1,1,1,1,8,8,0,0,0
2,1,1,2,16,16,0,3,1
3,1,1,3,28,28,0,3,1
978,1,TIMED,60,44,4
1,1,1,1,13,13,0,0,0
2,1,1,2,13,13,0,3,1
3,1,1,3,13,13,0,0,0
4,1,1,4,13,13,0,3,1
979,1,TIMED,60,8,3
1,1,1,1,21,21,0,0,0
2,1,1,2,21,21,0,3,1
3,1,1,3,10,10,0,3,1
984,1,TIMED,60,29,3
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
985,1,TIMED,60,30,3
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
986,1,TIMED,60,29,3
1,1,1,1,28,28,0,3,1
2,1,1,2,8,8,0,0,0
3,1,1,3,16,16,0,3,1
988,1,TIMED,60,26,3
1,1,1,1,16,16,0,0,0
2,1,1,2,8,8,0,3,1
3,1,1,3,28,28,0,3,1
1000,1,TIMED,60,39,3
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
1004,1,TIMED,60,47,2
1,1,1,1,35,35,0,3,1
2,1,1,2,17,17,0,3,1
1005,1,TIMED,60,31,3
1,1,1,1,15,15,0,0,0
2,1,1,2,15,15,0,3,1
3,1,1,3,22,22,0,3,1
1009,1,TIMED,60,28,2
1,1,1,1,31,31,0,3,1
2,1,1,2,21,21,0,3,1
1011,1,TIMED,60,5,2
1,1,1,1,26,26,0,3,1
2,1,1,2,26,26,0,3,1
1018,1,TIMED,60,21,3
1,1,1,1,9,9,0,0,0
2,1,1,2,10,10,0,3,1
3,1,1,3,33,33,0,3,1
1022,1,TIMED,60,22,2
1,1,1,1,26,26,0,3,1
2,1,1,2,26,26,0,3,1
1023,1,TIMED,60,4,2
1,1,1,1,17,17,0,3,1
2,1,1,2,35,35,0,3,1
1025,1,TIMED,60,11,2
1,1,1,1,35,35,0,3,1
2,1,1,2,17,17,0,3,1
1029,1,TIMED,60,2,2
1,1,1,1,26,26,0,3,1
2,1,1,2,26,26,0,3,1
1033,1,TIMED,60,32,3
1,1,1,1,9,9,0,0,0
2,1,1,2,8,8,0,3,1
3,1,1,3,35,35,0,3,1
1036,1,TIMED,60,15,2
1,1,1,1,9,9,0,3,1
2,1,1,2,43,43,0,3,1
1047,1,TIMED,60,28,2
1,1,1,1,26,26,0,3,1
2,1,1,2,26,26,0,3,1
1049,1,TIMED,60,47,2
1,1,1,1,35,35,0,3,1
2,1,1,2,17,17,0,3,1
1064,1,TIMED,60,5,3
1,1,1,1,16,16,0,0,0
2,1,1,2,8,8,0,3,1
3,1,1,3,28,28,0,3,1
1067,1,TIMED,60,52,3
1,1,1,1,8,8,0,0,0
2,1,1,2,16,16,0,3,1
3,1,1,3,28,28,0,3,1
1071,1,TIMED,60,47,2
