LINK,POINTS
X_COORD,Y_COORD
771673.1,3318478.1
935,3
771856.6,3318730.3
771805.5,3318675.6
771692.6,3318542.1
936,2
771680.1,3318690.6
771653.3,3318684.0
937,1
772175.1,3318677.7
938,3
772257.1,3318719.9
772208.4,3318713.9
772148.3,3318720.3
939,4
772167.8,3318940.3
772193.9,3318975.1
772221.3,3319021.2
772238.2,3319071.3
940,5
772181.5,3318936.7
772215.3,3318989.3
772237.2,3319037.5
772250.7,3319090.7
772250.9,3319092.4
941,3
772135.7,3318960.4
772103.0,3318926.4
772071.5,3318898.3
942,2
772148.9,3318961.6
772122.4,3318932.2
943,1
772220.0,3319073.1
944,2
772195.9,3319042.3
772173.8,3319001.0
945,1
771890.2,3319425.4
948,1
772157.3,3319886.4
958,1
772130.1,3320055.9
961,2
770766.4,3322040.1
770893.9,3322032.9
964,3
770789.9,3321654.1
770788.7,3321673.3
770826.0,3321781.5
966,1
771799.8,3322030.3
968,1
770652.6,3322082.7
973,1
769955.3,3322195.9
975,5
769882.3,3322282.5
769835.3,3322309.0
769783.7,3322335.3
769730.4,3322370.1
769677.4,3322399.8
978,5
769388.9,3322460.7
769440.5,3322460.8
769481.2,3322456.2
769541.1,3322437.3
769590.2,3322412.4
981,1
769541.6,3322507.7
986,5
769222.8,3322657.0
769231.7,3322643.6
769248.6,3322610.6
769250.7,3322571.1
769239.0,3322549.5
989,1
769321.5,3322639.9
990,5
769422.1,3322596.3
769396.8,3322619.2
769393.1,3322642.7
769398.1,3322653.9
769419.1,3322674.1
991,1
769210.4,3322652.0
994,4
769373.3,3322700.2
769352.9,3322703.5
769314.8,3322710.8
769271.3,3322722.2
995,1
769750.5,3322302.8
996,2
770062.6,3322155.5
770219.7,3322100.7
998,2
770433.5,3322101.5
770328.2,3322119.6
1000,4
770204.6,3322149.3
770117.1,3322178.1
770011.2,3322222.0
769974.9,3322236.6
1002,2
770489.0,3322055.7
770629.9,3322048.9
1007,9
771445.5,3321861.1
771476.0,3321833.7
771500.9,3321822.1
771527.6,3321808.6
771559.3,3321805.4
771592.8,3321798.1
771615.7,3321796.7
771633.6,3321782.9
771657.1,3321755.2
1008,3
771986.8,3320944.3
771983.0,3321001.2
771968.4,3321091.5
1010,4
771467.6,3321891.9
771469.0,3321926.0
771478.6,3321946.7
771491.4,3321960.7
1011,4
771930.0,3321193.5
771940.4,3321134.0
771957.0,3321043.8
771962.9,3320949.2
1012,4
771319.6,3321983.1
771348.1,3321967.7
771367.8,3321950.0
771400.4,3321914.6
1013,5
771999.5,3320550.5
771995.3,3320579.2
771995.5,3320643.0
771989.8,3320725.3
771989.6,3320807.8
1014,3
771970.5,3320858.8
771969.6,3320745.5
771972.7,3320622.0
1015,2
772049.3,3320347.8
772037.4,3320396.9
1016,3
771978.5,3320535.6
772005.9,3320435.3
772033.7,3320328.9
1017,1
771902.9,3321345.2
1020,4
771811.0,3321890.5
771851.6,3321927.3
771879.4,3321943.3
771919.1,3321957.9
1024,1
771770.6,3321633.2
1027,3
771727.6,3321703.9
771707.2,3321730.2
771686.5,3321770.9
1028,4
771742.8,3321711.5
771738.8,3321750.6
771742.4,3321786.5
771757.8,3321822.6
1029,9
771782.3,3321877.9
771769.3,3321864.4
771756.3,3321854.1
771737.2,3321847.3
771718.5,3321847.8
771702.4,3321853.0
771682.8,3321865.3
771673.7,3321875.1
771662.4,3321898.7
1030,5
771624.5,3321865.5
771616.6,3321849.3
771600.7,3321836.7
771567.9,3321821.6
771534.1,3321827.0
1032,6
771756.4,3321967.7
771765.7,3321959.9
771774.0,3321950.0
771781.8,3321938.6
771786.4,3321921.9
771788.5,3321908.0
1033,2
771947.8,3321198.1
771930.9,3321302.7
1037,6
771461.6,3322206.7
771484.3,3322211.3
771503.6,3322211.8
771526.6,3322206.3
771556.5,3322190.9
771583.9,3322161.3
1038,2
771468.7,3322616.3
771493.6,3322548.9
1042,4
771478.9,3322073.9
771453.9,3322095.5
771437.2,3322129.5
771431.2,3322157.5
1044,4
771522.4,3322351.8
771516.2,3322334.8
771508.3,3322308.8
771479.6,3322263.6
1049,1
771195.6,3322056.8
1051,1
770885.8,3322071.2
1053,5
771392.4,3322162.7
771370.2,3322141.9
771342.6,3322121.0
771311.5,3322100.1
771275.2,3322077.0
1055,1
771219.5,3322755.9
1065,2
771556.8,3322419.3
771552.3,3322448.5
1068,2
771913.1,3322058.3
771868.2,3322095.6
1071,6
771627.2,3322184.5
771654.4,3322203.6
771679.3,3322210.1
771703.3,3322213.0
771721.5,3322205.0
771739.3,3322197.4
1074,8
771761.9,3322204.0
771735.2,3322223.6
771692.7,3322236.6
771652.6,3322241.7
771631.3,3322245.5
771612.7,3322258.6
771607.4,3322265.1
771598.0,3322273.0
1075,8
771757.3,3322179.7
771771.7,3322165.9
771791.6,3322140.2
771791.9,3322128.0
771794.2,3322110.0
771787.9,3322091.3
771778.9,3322081.2
771765.3,3322066.9
1076,1
771519.5,3322590.1
1082,2
764991.1,3325459.6
765190.0,3325449.9
1083,1
765692.5,3324192.2
1084,1
765424.9,3326049.4
1085,1
765926.5,3324217.1
1086,2
763184.6,3325775.4
763345.3,3325767.6
1087,1
763358.1,3325055.7
1088,1
764183.5,3324407.0
1089,1
763520.5,3325757.0
1090,3
763395.2,3326000.8
763439.1,3326248.6
763482.9,3326496.4
1098,1
763829.2,3324451.9
1099,2
764193.9,3324432.7
764040.5,3324445.7
1100,3
764659.1,3324357.3
764686.2,3324475.9
764711.3,3324669.6
1103,1
764712.6,3324265.2
1104,1
764729.4,3324288.1
1123,2
766312.9,3324682.8
766319.8,3324810.3
1124,1
766278.7,3324763.0
1136,1
765957.7,3324175.9
1144,1
766333.3,3325101.6
1157,1
766319.1,3325710.4
1163,1
768464.1,3324056.5
1165,1
768682.9,3324474.1
1188,1
770069.6,3324606.3
1189,1
769613.6,3323989.8
1220,2
779014.4,3309343.9
779109.5,3309439.5
1221,1
780179.9,3309607.0
1223,1
782630.9,3309765.0
1227,1
790273.8,3309806.5
1230,1
777315.8,3309412.9
1232,1
778686.2,3309549.6
1233,1
780145.2,3309628.0
1234,3
782436.2,3309360.4
782428.9,3309253.0
782430.0,3309210.1
1235,1
782687.7,3309531.9
1238,1
786785.1,3309021.9
1240,2
787820.2,3309918.2
787815.2,3309710.7
1242,10
792181.5,3309735.0
792070.9,3309609.4
792028.9,3309473.5
791956.9,3309177.5
791938.4,3309017.6
791873.0,3308905.5
791790.2,3308584.8
791782.8,3308437.4
791546.8,3307879.7
791661.4,3307416.8
1243,1
799799.2,3309904.1
1244,1
801283.8,3310012.7
1245,1
785268.0,3304427.8
1247,4
785357.3,3306716.1
785404.6,3306609.3
785459.9,3306373.1
785531.7,3306183.1
1249,2
785555.1,3304683.0
785411.4,3304576.9
1252,1
779115.5,3303242.4
1257,1
779181.1,3301726.7
1260,1
779140.6,3303236.1
1262,1
779113.9,3305884.6
1264,1
779137.6,3308469.2
1265,2
778235.8,3300386.9
778339.2,3300519.5
1266,5
778304.0,3300505.4
778275.1,3300471.8
778258.8,3300449.6
778227.4,3300410.6
