PARKING,LINK,DIR,OFFSET,TYPE,NUM_NEST,NOTES
USE,START,END,SPACE,TIME_IN,TIME_OUT,HOURLY,DAILY
196,255,1,494.8,LOT,0,
197,256,0,283.2,LOT,0,
198,256,1,849.6,LOT,0,
199,256,0,566.4,LOT,0,
200,256,1,566.4,LOT,0,
201,256,0,849.6,LOT,0,
202,256,1,283.2,LOT,0,
203,257,0,160.9,LOT,0,
204,257,1,161.0,LOT,0,
205,263,0,160.9,LOT,0,
206,263,1,161.0,LOT,0,
207,264,0,152.3,LOT,0,
208,264,1,152.3,LOT,0,
209,268,0,334.2,LOT,0,
210,268,1,334.2,LOT,0,
211,270,0,343.1,LOT,0,
212,270,1,343.1,LOT,0,
213,271,0,267.7,LOT,0,
214,271,1,803.3,LOT,0,
215,271,0,535.5,LOT,0,
216,271,1,535.5,LOT,0,
217,271,0,803.2,LOT,0,
218,271,1,267.8,LOT,0,
219,58377,1,205.9,LOT,0,
220,58377,0,205.9,LOT,0,
221,274,0,161.0,LOT,0,
222,274,1,161.0,LOT,0,
223,276,0,161.0,LOT,0,
224,276,1,161.1,LOT,0,
225,277,0,161.0,LOT,0,
226,277,1,161.1,LOT,0,
227,278,0,161.0,LOT,0,
228,278,1,161.0,LOT,0,
229,279,0,160.9,LOT,0,
230,279,1,161.0,LOT,0,
231,280,0,161.0,LOT,0,
232,280,1,161.0,LOT,0,
233,281,0,161.0,LOT,0,
234,281,1,161.0,LOT,0,
235,282,0,161.0,LOT,0,
236,282,1,161.1,LOT,0,
237,283,0,160.9,LOT,0,
238,283,1,161.0,LOT,0,
239,284,0,161.0,LOT,0,
240,284,1,161.1,LOT,0,
241,285,0,161.0,LOT,0,
242,285,1,161.0,LOT,0,
243,286,0,161.0,LOT,0,
244,286,1,161.0,LOT,0,
245,287,0,161.0,LOT,0,
246,287,1,161.1,LOT,0,
247,288,0,161.0,LOT,0,
248,288,1,161.0,LOT,0,
249,289,0,160.9,LOT,0,
250,289,1,161.0,LOT,0,
251,290,0,161.0,LOT,0,
252,290,1,161.1,LOT,0,
253,291,0,161.0,LOT,0,
254,291,1,161.1,LOT,0,
255,292,0,161.0,LOT,0,
256,292,1,161.0,LOT,0,
257,293,0,161.0,LOT,0,
258,293,1,161.0,LOT,0,
259,294,0,215.5,LOT,0,
260,294,1,215.5,LOT,0,
261,295,0,161.0,LOT,0,
262,295,1,161.1,LOT,0,
263,296,0,161.0,LOT,0,
264,296,1,161.0,LOT,0,
265,297,0,219.4,LOT,0,
266,297,1,219.4,LOT,0,
267,298,0,161.0,LOT,0,
268,298,1,161.0,LOT,0,
269,299,0,161.0,LOT,0,
270,299,1,161.0,LOT,0,
271,302,0,161.0,LOT,0,
272,302,1,161.0,LOT,0,
273,303,0,161.0,LOT,0,
274,303,1,161.0,LOT,0,
275,304,0,161.0,LOT,0,
276,304,1,161.0,LOT,0,
277,305,0,161.0,LOT,0,
278,305,1,161.1,LOT,0,
279,306,0,161.0,LOT,0,
280,306,1,161.0,LOT,0,
281,307,0,160.9,LOT,0,
282,307,1,161.0,LOT,0,
283,309,0,161.0,LOT,0,
284,309,1,161.1,LOT,0,
285,310,0,161.1,LOT,0,
286,310,1,161.1,LOT,0,
287,311,0,160.9,LOT,0,
288,311,1,161.0,LOT,0,
