SIGNAL,PHASING,PHASE,MOVEMENTS,DETECTORS
MOVEMENT,LINK,DIR,TO_LINK,PROTECTION
EB_THRU,8665,0,8666,PROTECTED
EB_RIGHT,8665,0,8735,PROTECTED
4904,1,1,3,
NB_LEFT,8645,0,5804,PROTECTED
NB_THRU,8645,0,8646,PROTECTED
WB_RIGHT,5803,0,8646,STOP_PERMIT
4904,1,2,2,
WB_THRU,5803,0,5804,PROTECTED
WB_RIGHT,5803,0,8646,PROTECTED
4906,1,1,3,
EB_LEFT,8667,0,8647,PROTECTED
EB_THRU,8667,0,8668,PROTECTED
NB_RIGHT,8646,0,8668,STOP_PERMIT
4906,1,2,2,
NB_THRU,8646,0,8647,PROTECTED
NB_RIGHT,8646,0,8668,PROTECTED
4909,1,1,2,
SB_THRU,5923,0,5925,PROTECTED
SB_RIGHT,5923,0,5920,PROTECTED
4909,1,2,3,
SB_RIGHT,5923,0,5920,STOP_PERMIT
WB_LEFT,5809,0,5925,PROTECTED
WB_THRU,5809,0,5920,PROTECTED
4910,1,1,3,
SB_LEFT,5922,0,8660,PROTECTED
SB_THRU,5922,0,5923,PROTECTED
EB_RIGHT,5921,1,5923,STOP_PERMIT
4910,1,2,2,
EB_THRU,5921,1,8660,PROTECTED
EB_RIGHT,5921,1,5923,PROTECTED
4922,1,1,2,
NB_LEFT,7832,0,5857,PROTECTED
SB_LEFT,5855,1,5856,PROTECTED
4922,1,2,8,
NB_LEFT,7832,0,5857,PERMITTED
NB_THRU,7832,0,5855,PROTECTED
NB_RIGHT,7832,0,5856,PROTECTED
EB_RIGHT,5857,1,7832,STOP_PERMIT
WB_RIGHT,5856,0,5855,STOP_PERMIT
SB_LEFT,5855,1,5856,PERMITTED
SB_THRU,5855,1,7832,PROTECTED
SB_RIGHT,5855,1,5857,PROTECTED
4922,1,4,8,
NB_RIGHT,7832,0,5856,STOP_PERMIT
EB_LEFT,5857,1,5855,PERMITTED
EB_THRU,5857,1,5856,PROTECTED
EB_RIGHT,5857,1,7832,PROTECTED
WB_LEFT,5856,0,7832,PERMITTED
WB_THRU,5856,0,5857,PROTECTED
WB_RIGHT,5856,0,5855,PROTECTED
SB_RIGHT,5855,1,5857,STOP_PERMIT
4922,1,3,2,
EB_LEFT,5857,1,5855,PROTECTED
WB_LEFT,5856,0,7832,PROTECTED
4925,1,1,2,
EB_LEFT,7797,0,5865,PROTECTED
WB_LEFT,5861,1,5863,PROTECTED
4925,1,2,8,
EB_LEFT,7797,0,5865,PERMITTED
EB_THRU,7797,0,5861,PROTECTED
EB_RIGHT,7797,0,5863,PROTECTED
SB_RIGHT,5865,1,7797,STOP_PERMIT
NB_RIGHT,5863,0,5861,STOP_PERMIT
WB_LEFT,5861,1,5863,PERMITTED
WB_THRU,5861,1,7797,PROTECTED
WB_RIGHT,5861,1,5865,PROTECTED
4925,1,4,8,
EB_RIGHT,7797,0,5863,STOP_PERMIT
SB_LEFT,5865,1,5861,PERMITTED
SB_THRU,5865,1,5863,PROTECTED
SB_RIGHT,5865,1,7797,PROTECTED
NB_LEFT,5863,0,7797,PERMITTED
NB_THRU,5863,0,5865,PROTECTED
NB_RIGHT,5863,0,5861,PROTECTED
WB_RIGHT,5861,1,5865,STOP_PERMIT
4925,1,3,2,
SB_LEFT,5865,1,5861,PROTECTED
NB_LEFT,5863,0,7797,PROTECTED
4927,1,1,4,
WB_THRU,5882,1,5881,PROTECTED
WB_RIGHT,5882,1,5864,PROTECTED
EB_THRU,5881,0,5882,PROTECTED
EB_RIGHT,5881,0,5879,PROTECTED
4927,1,3,6,
WB_RIGHT,5882,1,5864,STOP_PERMIT
EB_RIGHT,5881,0,5879,STOP_PERMIT
WB_LEFT,5879,1,5881,PERMITTED
WB_THRU,5879,1,5864,PROTECTED
EB_LEFT,5864,0,5882,PERMITTED
EB_THRU,5864,0,5879,PROTECTED
4927,1,2,2,
WB_LEFT,5879,1,5881,PROTECTED
EB_LEFT,5864,0,5882,PROTECTED
4931,1,2,5,
NB_THRU,54841,0,5880,PROTECTED
NB_RIGHT,54841,0,5881,PROTECTED
WB_RIGHT,5881,1,5880,STOP_PERMIT
SB_LEFT,5880,1,5881,PERMITTED
SB_THRU,5880,1,54841,PROTECTED
4931,1,3,3,
NB_RIGHT,54841,0,5881,STOP_PERMIT
WB_LEFT,5881,1,54841,PROTECTED
WB_RIGHT,5881,1,5880,PROTECTED
4931,1,1,2,
SB_LEFT,5880,1,5881,PROTECTED
SB_THRU,5880,1,54841,PROTECTED
4935,1,2,5,
SB_THRU,7658,0,5884,PROTECTED
SB_RIGHT,7658,0,5887,PROTECTED
EB_RIGHT,5887,0,5884,STOP_PERMIT
NB_LEFT,5884,1,5887,PERMITTED
NB_THRU,5884,1,7658,PROTECTED
4935,1,3,3,
SB_RIGHT,7658,0,5887,STOP_PERMIT
EB_LEFT,5887,0,7658,PROTECTED
EB_RIGHT,5887,0,5884,PROTECTED
4935,1,1,2,
NB_LEFT,5884,1,5887,PROTECTED
NB_THRU,5884,1,7658,PROTECTED
4937,1,2,5,
NB_THRU,7663,0,5888,PROTECTED
NB_RIGHT,7663,0,7662,PROTECTED
WB_RIGHT,7662,0,5888,STOP_PERMIT
SB_LEFT,5888,1,7662,PERMITTED
SB_THRU,5888,1,7663,PROTECTED
4937,1,3,3,
NB_RIGHT,7663,0,7662,STOP_PERMIT
WB_LEFT,7662,0,7663,PROTECTED
WB_RIGHT,7662,0,5888,PROTECTED
4937,1,1,2,
SB_LEFT,5888,1,7662,PROTECTED
SB_THRU,5888,1,7663,PROTECTED
4939,1,2,5,
SB_THRU,7745,0,5890,PROTECTED
SB_RIGHT,7745,0,5892,PROTECTED
EB_RIGHT,5892,1,5890,STOP_PERMIT
NB_LEFT,5890,1,5892,PERMITTED
NB_THRU,5890,1,7745,PROTECTED
4939,1,3,3,
SB_RIGHT,7745,0,5892,STOP_PERMIT
EB_LEFT,5892,1,7745,PROTECTED
EB_RIGHT,5892,1,5890,PROTECTED
4939,1,1,2,
NB_LEFT,5890,1,5892,PROTECTED
NB_THRU,5890,1,7745,PROTECTED
4940,1,1,2,
SB_LEFT,7747,0,7746,PROTECTED
SB_THRU,7747,0,5891,PROTECTED
4940,1,2,5,
SB_LEFT,7747,0,7746,PERMITTED
SB_THRU,7747,0,5891,PROTECTED
WB_RIGHT,7746,0,7747,STOP_PERMIT
NB_THRU,5891,1,7747,PROTECTED
NB_RIGHT,5891,1,7746,PROTECTED
4940,1,3,3,
WB_LEFT,7746,0,5891,PROTECTED
WB_RIGHT,7746,0,7747,PROTECTED
NB_RIGHT,5891,1,7746,STOP_PERMIT
4946,1,1,2,
NB_THRU,6159,0,5911,PROTECTED
NB_RIGHT,6159,0,5916,PROTECTED
4946,1,2,3,
NB_RIGHT,6159,0,5916,STOP_PERMIT
EB_LEFT,5969,0,5911,PROTECTED
EB_THRU,5969,0,5916,PROTECTED
4947,1,1,3,
SB_LEFT,8688,0,5917,PROTECTED
SB_THRU,8688,0,8689,PROTECTED
EB_RIGHT,5916,0,8689,STOP_PERMIT
4947,1,2,2,
EB_THRU,5916,0,5917,PROTECTED
EB_RIGHT,5916,0,8689,PROTECTED
4948,1,1,4,
SB_LEFT,5928,0,8457,PROTECTED
SB_LEFT,5928,0,5924,PROTECTED
SB_THRU,5928,0,5936,PROTECTED
EB_RIGHT,5913,0,5936,STOP_PERMIT
4948,1,2,3,
EB_LEFT,5913,0,8457,PROTECTED
EB_THRU,5913,0,5924,PROTECTED
EB_RIGHT,5913,0,5936,PROTECTED
4949,1,2,4,
NB_RIGHT,5971,1,5969,PROTECTED
SB_LEFT,5970,0,5969,PERMITTED
SB_THRU,5970,0,5971,PROTECTED
EB_RIGHT,5915,0,5971,STOP_PERMIT
4949,1,3,3,
NB_RIGHT,5971,1,5969,STOP_PERMIT
EB_THRU,5915,0,5969,PROTECTED
EB_RIGHT,5915,0,5971,PROTECTED
4949,1,1,2,
SB_LEFT,5970,0,5969,PROTECTED
SB_THRU,5970,0,5971,PROTECTED
4950,1,1,2,
NB_THRU,8718,0,8719,PROTECTED
NB_RIGHT,8718,0,5929,PROTECTED
4950,1,2,3,
NB_RIGHT,8718,0,5929,STOP_PERMIT
EB_LEFT,5932,0,8719,PROTECTED
EB_THRU,5932,0,5929,PROTECTED
4950,1,3,2,
EB_LEFT,5924,0,8719,PROTECTED
EB_THRU,5924,0,5929,PROTECTED
4951,1,1,4,
NB_LEFT,8716,0,5934,PROTECTED
NB_THRU,8716,0,8717,PROTECTED
NB_RIGHT,8716,0,5933,PROTECTED
WB_RIGHT,5933,1,8717,STOP_PERMIT
4951,1,3,5,
NB_RIGHT,8716,0,5933,STOP_PERMIT
EB_LEFT,5934,0,8717,PERMITTED
EB_THRU,5934,0,5933,PROTECTED
WB_THRU,5933,1,5934,PROTECTED
WB_RIGHT,5933,1,8717,PROTECTED
4951,1,2,2,
EB_LEFT,5934,0,8717,PROTECTED
EB_THRU,5934,0,5933,PROTECTED
4954,1,1,3,
EB_LEFT,8827,0,5937,PROTECTED
EB_RIGHT,8827,0,5938,PROTECTED
SB_RIGHT,5937,0,8827,STOP_PERMIT
4954,1,3,5,
EB_RIGHT,8827,0,5938,STOP_PERMIT
NB_LEFT,5938,1,8827,PERMITTED
NB_THRU,5938,1,5937,PROTECTED
SB_THRU,5937,0,5938,PROTECTED
SB_RIGHT,5937,0,8827,PROTECTED
4954,1,2,2,
NB_LEFT,5938,1,8827,PROTECTED
NB_THRU,5938,1,5937,PROTECTED
4955,1,1,2,
EB_LEFT,5941,1,5938,PROTECTED
EB_THRU,5941,1,5939,PROTECTED
4955,1,2,5,
EB_LEFT,5941,1,5938,PERMITTED
EB_THRU,5941,1,5939,PROTECTED
WB_THRU,5939,1,5941,PROTECTED
WB_RIGHT,5939,1,5938,PROTECTED
SB_RIGHT,5938,0,5941,STOP_PERMIT
4955,1,3,3,
WB_RIGHT,5939,1,5938,STOP_PERMIT
SB_LEFT,5938,0,5939,PROTECTED
SB_RIGHT,5938,0,5941,PROTECTED
4957,1,1,3,
NB_LEFT,8459,1,8458,PROTECTED
NB_RIGHT,8459,1,5941,PROTECTED
EB_RIGHT,8458,1,8459,STOP_PERMIT
4957,1,3,5,
NB_RIGHT,8459,1,5941,STOP_PERMIT
EB_THRU,8458,1,5941,PROTECTED
EB_RIGHT,8458,1,8459,PROTECTED
WB_LEFT,5941,0,8459,PERMITTED
WB_THRU,5941,0,8458,PROTECTED
4957,1,2,2,
WB_LEFT,5941,0,8459,PROTECTED
WB_THRU,5941,0,8458,PROTECTED
4961,1,1,3,
NB_LEFT,8557,0,6189,PROTECTED
NB_RIGHT,8557,0,5949,PROTECTED
EB_RIGHT,6189,1,8557,STOP_PERMIT
4961,1,3,5,
NB_RIGHT,8557,0,5949,STOP_PERMIT
EB_THRU,6189,1,5949,PROTECTED
EB_RIGHT,6189,1,8557,PROTECTED
WB_LEFT,5949,0,8557,PERMITTED
WB_THRU,5949,0,6189,PROTECTED
4961,1,2,2,
WB_LEFT,5949,0,8557,PROTECTED
WB_THRU,5949,0,6189,PROTECTED
4962,1,2,4,
EB_THRU,6170,1,5952,PROTECTED
EB_RIGHT,6170,1,6183,PROTECTED
NB_LEFT,5952,0,6183,PERMITTED
NB_THRU,5952,0,6170,PROTECTED
4962,1,1,2,
NB_LEFT,5952,0,6183,PROTECTED
NB_THRU,5952,0,6170,PROTECTED
4964,1,2,4,
WB_THRU,6166,1,5957,PROTECTED
WB_RIGHT,6166,1,8715,PROTECTED
EB_LEFT,5957,0,8715,PERMITTED
EB_THRU,5957,0,6166,PROTECTED
4964,1,1,2,
EB_LEFT,5957,0,8715,PROTECTED
EB_THRU,5957,0,6166,PROTECTED
4968,1,1,2,
NB_LEFT,7973,0,5976,PROTECTED
SB_LEFT,5966,1,5975,PROTECTED
4968,1,2,8,
NB_LEFT,7973,0,5976,PERMITTED
NB_THRU,7973,0,5966,PROTECTED
NB_RIGHT,7973,0,5975,PROTECTED
EB_RIGHT,5976,1,7973,STOP_PERMIT
SB_RIGHT,5975,0,5966,STOP_PERMIT
SB_LEFT,5966,1,5975,PERMITTED
SB_THRU,5966,1,7973,PROTECTED
SB_RIGHT,5966,1,5976,PROTECTED
4968,1,4,8,
NB_RIGHT,7973,0,5975,STOP_PERMIT
EB_LEFT,5976,1,5966,PERMITTED
EB_THRU,5976,1,5975,PROTECTED
EB_RIGHT,5976,1,7973,PROTECTED
SB_LEFT,5975,0,7973,PERMITTED
SB_THRU,5975,0,5976,PROTECTED
SB_RIGHT,5975,0,5966,PROTECTED
SB_RIGHT,5966,1,5976,STOP_PERMIT
4968,1,3,2,
EB_LEFT,5976,1,5966,PROTECTED
SB_LEFT,5975,0,7973,PROTECTED
4972,1,1,3,
EB_LEFT,5979,0,5972,PROTECTED
EB_RIGHT,5979,0,5978,PROTECTED
SB_RIGHT,5972,0,5979,STOP_PERMIT
4972,1,3,5,
EB_RIGHT,5979,0,5978,STOP_PERMIT
NB_LEFT,5978,1,5979,PERMITTED
NB_THRU,5978,1,5972,PROTECTED
SB_THRU,5972,0,5978,PROTECTED
SB_RIGHT,5972,0,5979,PROTECTED
4972,1,2,2,
NB_LEFT,5978,1,5979,PROTECTED
NB_THRU,5978,1,5972,PROTECTED
4986,1,1,4,
WB_LEFT,8772,0,6009,PROTECTED
WB_THRU,8772,0,8773,PROTECTED
WB_RIGHT,8772,0,6277,PROTECTED
SB_RIGHT,6008,0,8773,STOP_PERMIT
4986,1,3,5,
WB_RIGHT,8772,0,6277,STOP_PERMIT
NB_LEFT,6009,1,8773,PERMITTED
NB_THRU,6009,1,6277,PROTECTED
SB_THRU,6008,0,6009,PROTECTED
SB_RIGHT,6008,0,8773,PROTECTED
4986,1,2,2,
NB_LEFT,6009,1,8773,PROTECTED
NB_THRU,6009,1,6277,PROTECTED
4987,1,1,2,
EB_LEFT,54363,0,6009,PROTECTED
EB_THRU,54363,0,320,PROTECTED
4987,1,2,1,
SB_LEFT,6009,0,320,PROTECTED
4989,1,1,3,
SB_RIGHT,6012,1,8770,PROTECTED
NB_THRU,6011,0,6012,PROTECTED
WB_RIGHT,390,0,6012,STOP_PERMIT
4989,1,2,3,
SB_RIGHT,6012,1,8770,STOP_PERMIT
WB_THRU,390,0,8770,PROTECTED
WB_RIGHT,390,0,6012,PROTECTED
4990,1,1,3,
NB_LEFT,8840,1,6013,PROTECTED
NB_RIGHT,8840,1,8839,PROTECTED
EB_RIGHT,6013,0,8840,STOP_PERMIT
4990,1,3,5,
NB_RIGHT,8840,1,8839,STOP_PERMIT
WB_LEFT,8839,1,8840,PERMITTED
WB_THRU,8839,1,6013,PROTECTED
EB_THRU,6013,0,8839,PROTECTED
EB_RIGHT,6013,0,8840,PROTECTED
4990,1,2,2,
WB_LEFT,8839,1,8840,PROTECTED
WB_THRU,8839,1,6013,PROTECTED
4997,1,1,3,
SB_LEFT,54511,0,6027,PROTECTED
SB_THRU,54511,0,6026,PROTECTED
WB_RIGHT,6027,0,54511,STOP_PERMIT
4997,1,3,4,
WB_THRU,6027,0,6026,PROTECTED
WB_RIGHT,6027,0,54511,PROTECTED
NB_LEFT,6026,1,54511,PERMITTED
NB_THRU,6026,1,6027,PROTECTED
4997,1,2,2,
NB_LEFT,6026,1,54511,PROTECTED
NB_THRU,6026,1,6027,PROTECTED
5002,1,1,3,
SB_LEFT,54517,0,8296,PROTECTED
SB_RIGHT,54517,0,6030,PROTECTED
WB_RIGHT,8296,0,54517,STOP_PERMIT
5002,1,3,5,
SB_RIGHT,54517,0,6030,STOP_PERMIT
WB_THRU,8296,0,6030,PROTECTED
WB_RIGHT,8296,0,54517,PROTECTED
NB_LEFT,6030,1,54517,PERMITTED
NB_THRU,6030,1,8296,PROTECTED
5002,1,2,2,
NB_LEFT,6030,1,54517,PROTECTED
NB_THRU,6030,1,8296,PROTECTED
5005,1,1,1,
SB_LEFT,6332,0,6032,PROTECTED
5005,1,2,2,
WB_THRU,6032,1,6031,PROTECTED
EB_THRU,6031,0,6032,PROTECTED
5010,1,1,3,
NB_THRU,6044,1,6043,PROTECTED
SB_THRU,6043,0,6044,PROTECTED
SB_RIGHT,6043,0,1880,PROTECTED
5010,1,2,3,
SB_RIGHT,6043,0,1880,STOP_PERMIT
WB_LEFT,1888,0,6044,PROTECTED
WB_THRU,1888,0,1880,PROTECTED
5011,1,1,4,
NB_THRU,6045,1,6044,PROTECTED
NB_RIGHT,6045,1,1887,PROTECTED
SB_THRU,6044,0,6045,PROTECTED
EB_RIGHT,1879,0,6045,STOP_PERMIT
5011,1,2,4,
NB_RIGHT,6045,1,1887,STOP_PERMIT
EB_LEFT,1879,0,6044,PROTECTED
EB_THRU,1879,0,1887,PROTECTED
EB_RIGHT,1879,0,6045,PROTECTED
5018,1,2,5,
EB_THRU,8101,0,6054,PROTECTED
EB_RIGHT,8101,0,6056,PROTECTED
NB_RIGHT,6056,0,6054,STOP_PERMIT
WB_LEFT,6054,1,6056,PERMITTED
WB_THRU,6054,1,8101,PROTECTED
5018,1,3,3,
EB_RIGHT,8101,0,6056,STOP_PERMIT
NB_LEFT,6056,0,8101,PROTECTED
NB_RIGHT,6056,0,6054,PROTECTED
5018,1,1,2,
WB_LEFT,6054,1,6056,PROTECTED
WB_THRU,6054,1,8101,PROTECTED
5024,1,1,1,
WB_LEFT,6090,1,4053,PROTECTED
5024,1,2,2,
SB_LEFT,4033,0,6090,PROTECTED
SB_THRU,4033,0,4053,PROTECTED
5025,1,1,2,
NB_LEFT,8165,0,6098,PROTECTED
SB_LEFT,6093,1,6097,PROTECTED
5025,1,2,8,
NB_LEFT,8165,0,6098,PERMITTED
NB_THRU,8165,0,6093,PROTECTED
NB_RIGHT,8165,0,6097,PROTECTED
EB_RIGHT,6098,1,8165,STOP_PERMIT
WB_RIGHT,6097,0,6093,STOP_PERMIT
SB_LEFT,6093,1,6097,PERMITTED
SB_THRU,6093,1,8165,PROTECTED
SB_RIGHT,6093,1,6098,PROTECTED
5025,1,4,8,
NB_RIGHT,8165,0,6097,STOP_PERMIT
EB_LEFT,6098,1,6093,PERMITTED
EB_THRU,6098,1,6097,PROTECTED
EB_RIGHT,6098,1,8165,PROTECTED
WB_LEFT,6097,0,8165,PERMITTED
WB_THRU,6097,0,6098,PROTECTED
WB_RIGHT,6097,0,6093,PROTECTED
SB_RIGHT,6093,1,6098,STOP_PERMIT
5025,1,3,2,
EB_LEFT,6098,1,6093,PROTECTED
WB_LEFT,6097,0,8165,PROTECTED
5027,1,1,2,
SB_LEFT,6114,0,6098,PROTECTED
SB_THRU,6114,0,6094,PROTECTED
5027,1,2,5,
SB_LEFT,6114,0,6098,PERMITTED
SB_THRU,6114,0,6094,PROTECTED
WB_RIGHT,6098,0,6114,STOP_PERMIT
NB_THRU,6094,1,6114,PROTECTED
NB_RIGHT,6094,1,6098,PROTECTED
5027,1,3,3,
WB_LEFT,6098,0,6094,PROTECTED
WB_RIGHT,6098,0,6114,PROTECTED
NB_RIGHT,6094,1,6098,STOP_PERMIT
5028,1,1,2,
WB_LEFT,6313,1,6310,PROTECTED
EB_LEFT,6312,0,6094,PROTECTED
5028,1,2,8,
WB_LEFT,6313,1,6310,PERMITTED
WB_THRU,6313,1,6312,PROTECTED
WB_RIGHT,6313,1,6094,PROTECTED
EB_LEFT,6312,0,6094,PERMITTED
EB_THRU,6312,0,6313,PROTECTED
EB_RIGHT,6312,0,6310,PROTECTED
NB_RIGHT,6310,1,6313,STOP_PERMIT
SB_RIGHT,6094,0,6312,STOP_PERMIT
5028,1,4,8,
WB_RIGHT,6313,1,6094,STOP_PERMIT
EB_RIGHT,6312,0,6310,STOP_PERMIT
NB_LEFT,6310,1,6312,PERMITTED
NB_THRU,6310,1,6094,PROTECTED
NB_RIGHT,6310,1,6313,PROTECTED
SB_LEFT,6094,0,6313,PERMITTED
SB_THRU,6094,0,6310,PROTECTED
SB_RIGHT,6094,0,6312,PROTECTED
5028,1,3,2,
NB_LEFT,6310,1,6312,PROTECTED
SB_LEFT,6094,0,6313,PROTECTED
5031,1,1,2,
EB_LEFT,8129,0,6106,PROTECTED
WB_LEFT,6250,1,8126,PROTECTED
5031,1,2,8,
EB_LEFT,8129,0,6106,PERMITTED
EB_THRU,8129,0,6250,PROTECTED
EB_RIGHT,8129,0,8126,PROTECTED
NB_RIGHT,8126,0,6250,STOP_PERMIT
WB_LEFT,6250,1,8126,PERMITTED
WB_THRU,6250,1,8129,PROTECTED
WB_RIGHT,6250,1,6106,PROTECTED
SB_RIGHT,6106,1,8129,STOP_PERMIT
5031,1,4,8,
EB_RIGHT,8129,0,8126,STOP_PERMIT
NB_LEFT,8126,0,8129,PERMITTED
NB_THRU,8126,0,6106,PROTECTED
NB_RIGHT,8126,0,6250,PROTECTED
WB_RIGHT,6250,1,6106,STOP_PERMIT
SB_LEFT,6106,1,6250,PERMITTED
SB_THRU,6106,1,8126,PROTECTED
SB_RIGHT,6106,1,8129,PROTECTED
5031,1,3,2,
NB_LEFT,8126,0,8129,PROTECTED
SB_LEFT,6106,1,6250,PROTECTED
5034,1,1,2,
NB_LEFT,8125,0,6109,PROTECTED
NB_THRU,8125,0,6108,PROTECTED
5034,1,2,5,
NB_LEFT,8125,0,6109,PERMITTED
NB_THRU,8125,0,6108,PROTECTED
EB_RIGHT,6109,0,8125,STOP_PERMIT
SB_THRU,6108,1,8125,PROTECTED
SB_RIGHT,6108,1,6109,PROTECTED
5034,1,3,3,
EB_LEFT,6109,0,6108,PROTECTED
EB_RIGHT,6109,0,8125,PROTECTED
SB_RIGHT,6108,1,6109,STOP_PERMIT
5035,1,2,5,
EB_THRU,8145,0,6111,PROTECTED
EB_RIGHT,8145,0,6113,PROTECTED
NB_RIGHT,6113,0,6111,STOP_PERMIT
WB_LEFT,6111,1,6113,PERMITTED
WB_THRU,6111,1,8145,PROTECTED
5035,1,3,3,
EB_RIGHT,8145,0,6113,STOP_PERMIT
NB_LEFT,6113,0,8145,PROTECTED
NB_RIGHT,6113,0,6111,PROTECTED
5035,1,1,2,
WB_LEFT,6111,1,6113,PROTECTED
WB_THRU,6111,1,8145,PROTECTED
5036,1,1,2,
NB_LEFT,8151,0,6121,PROTECTED
SB_LEFT,6115,1,6120,PROTECTED
5036,1,2,8,
NB_LEFT,8151,0,6121,PERMITTED
NB_THRU,8151,0,6115,PROTECTED
NB_RIGHT,8151,0,6120,PROTECTED
EB_RIGHT,6121,1,8151,STOP_PERMIT
WB_RIGHT,6120,0,6115,STOP_PERMIT
SB_LEFT,6115,1,6120,PERMITTED
SB_THRU,6115,1,8151,PROTECTED
SB_RIGHT,6115,1,6121,PROTECTED
5036,1,4,8,
NB_RIGHT,8151,0,6120,STOP_PERMIT
EB_LEFT,6121,1,6115,PERMITTED
EB_THRU,6121,1,6120,PROTECTED
EB_RIGHT,6121,1,8151,PROTECTED
WB_LEFT,6120,0,8151,PERMITTED
WB_THRU,6120,0,6121,PROTECTED
WB_RIGHT,6120,0,6115,PROTECTED
SB_RIGHT,6115,1,6121,STOP_PERMIT
5036,1,3,2,
EB_LEFT,6121,1,6115,PROTECTED
WB_LEFT,6120,0,8151,PROTECTED
5040,1,1,2,
EB_LEFT,6139,1,6137,PROTECTED
EB_THRU,6139,1,6138,PROTECTED
5040,1,2,5,
EB_LEFT,6139,1,6137,PERMITTED
EB_THRU,6139,1,6138,PROTECTED
WB_THRU,6138,0,6139,PROTECTED
WB_RIGHT,6138,0,6137,PROTECTED
SB_RIGHT,6137,0,6139,STOP_PERMIT
5040,1,3,3,
WB_RIGHT,6138,0,6137,STOP_PERMIT
SB_LEFT,6137,0,6138,PROTECTED
SB_RIGHT,6137,0,6139,PROTECTED
5046,1,1,2,
NB_LEFT,7869,0,6160,PROTECTED
NB_THRU,7869,0,6155,PROTECTED
5046,1,2,5,
NB_LEFT,7869,0,6160,PERMITTED
NB_THRU,7869,0,6155,PROTECTED
EB_RIGHT,6160,1,7869,STOP_PERMIT
SB_THRU,6155,1,7869,PROTECTED
SB_RIGHT,6155,1,6160,PROTECTED
5046,1,3,3,
EB_LEFT,6160,1,6155,PROTECTED
EB_RIGHT,6160,1,7869,PROTECTED
SB_RIGHT,6155,1,6160,STOP_PERMIT
5048,1,2,5,
NB_THRU,7868,0,6156,PROTECTED
NB_RIGHT,7868,0,6163,PROTECTED
WB_RIGHT,6163,1,6156,STOP_PERMIT
SB_LEFT,6156,1,6163,PERMITTED
SB_THRU,6156,1,7868,PROTECTED
5048,1,3,3,
NB_RIGHT,7868,0,6163,STOP_PERMIT
WB_LEFT,6163,1,7868,PROTECTED
WB_RIGHT,6163,1,6156,PROTECTED
5048,1,1,2,
SB_LEFT,6156,1,6163,PROTECTED
SB_THRU,6156,1,7868,PROTECTED
5049,1,1,2,
WB_LEFT,7870,0,6157,PROTECTED
EB_LEFT,6161,1,7865,PROTECTED
5049,1,2,7,
WB_LEFT,7870,0,6157,PERMITTED
WB_THRU,7870,0,6161,PROTECTED
WB_RIGHT,7870,0,7865,PROTECTED
SB_RIGHT,7865,0,6161,STOP_PERMIT
EB_LEFT,6161,1,7865,PERMITTED
EB_THRU,6161,1,7870,PROTECTED
NB_RIGHT,6157,1,7870,STOP_PERMIT
5049,1,4,7,
WB_RIGHT,7870,0,7865,STOP_PERMIT
SB_LEFT,7865,0,7870,PERMITTED
SB_THRU,7865,0,6157,PROTECTED
SB_RIGHT,7865,0,6161,PROTECTED
NB_LEFT,6157,1,6161,PERMITTED
NB_THRU,6157,1,7865,PROTECTED
NB_RIGHT,6157,1,7870,PROTECTED
5049,1,3,2,
SB_LEFT,7865,0,7870,PROTECTED
NB_LEFT,6157,1,6161,PROTECTED
5053,1,2,4,
WB_THRU,6164,1,6163,PROTECTED
WB_RIGHT,6164,1,8640,PROTECTED
EB_LEFT,6163,0,8640,PERMITTED
EB_THRU,6163,0,6164,PROTECTED
5053,1,1,2,
EB_LEFT,6163,0,8640,PROTECTED
EB_THRU,6163,0,6164,PROTECTED
5054,1,1,3,
SB_LEFT,6294,0,6293,PROTECTED
SB_RIGHT,6294,0,6164,PROTECTED
WB_RIGHT,6293,1,6294,STOP_PERMIT
5054,1,3,5,
SB_RIGHT,6294,0,6164,STOP_PERMIT
WB_THRU,6293,1,6164,PROTECTED
WB_RIGHT,6293,1,6294,PROTECTED
EB_LEFT,6164,0,6294,PERMITTED
EB_THRU,6164,0,6293,PROTECTED
5054,1,2,2,
EB_LEFT,6164,0,6294,PROTECTED
EB_THRU,6164,0,6293,PROTECTED
5057,1,1,2,
NB_LEFT,6182,0,6169,PROTECTED
NB_RIGHT,6182,0,6170,PROTECTED
5057,1,2,3,
NB_RIGHT,6182,0,6170,STOP_PERMIT
WB_THRU,6170,0,6169,PROTECTED
EB_THRU,6169,1,6170,PROTECTED
5066,1,1,1,
EB_LEFT,6186,0,6185,PROTECTED
5066,1,2,1,
NB_THRU,6184,0,6185,PROTECTED
5068,1,1,3,
NB_LEFT,6204,0,6197,PROTECTED
NB_RIGHT,6204,0,6202,PROTECTED
SB_RIGHT,6197,0,6204,STOP_PERMIT
5068,1,3,5,
NB_RIGHT,6204,0,6202,STOP_PERMIT
WB_LEFT,6202,1,6204,PERMITTED
WB_THRU,6202,1,6197,PROTECTED
SB_THRU,6197,0,6202,PROTECTED
SB_RIGHT,6197,0,6204,PROTECTED
5068,1,2,2,
WB_LEFT,6202,1,6204,PROTECTED
WB_THRU,6202,1,6197,PROTECTED
5070,1,1,1,
EB_THRU,6205,0,6199,PROTECTED
5070,1,3,3,
SB_THRU,6202,0,6199,PROTECTED
WB_LEFT,6199,1,6205,PERMITTED
WB_THRU,6199,1,6202,PROTECTED
5070,1,2,2,
WB_LEFT,6199,1,6205,PROTECTED
WB_THRU,6199,1,6202,PROTECTED
