LINK,DIR,TYPE,LANES,LENGTH,OFFSET
1994,1,LEFT_TURN,1,100.0,0.0
2008,0,RIGHT_MERGE,1,200.0,0.0
2010,0,LEFT_TURN,1,100.0,0.0
2014,0,LEFT_TURN,1,100.0,0.0
2015,0,LEFT_TURN,1,100.0,0.0
2017,0,LEFT_TURN,1,100.0,0.0
2019,0,LEFT_TURN,1,100.0,0.0
2029,0,LEFT_TURN,1,100.0,0.0
2033,0,LEFT_TURN,1,100.0,0.0
2044,1,LEFT_TURN,1,100.0,0.0
2047,1,LEFT_TURN,1,100.0,0.0
2048,0,LEFT_TURN,1,100.0,0.0
2049,0,LEFT_TURN,1,100.0,0.0
2050,1,LEFT_TURN,1,100.0,0.0
2051,0,LEFT_TURN,1,100.0,0.0
2051,1,LEFT_TURN,1,100.0,0.0
2054,0,LEFT_TURN,1,100.0,0.0
2055,0,LEFT_TURN,1,100.0,0.0
2059,0,LEFT_TURN,1,100.0,0.0
2060,1,LEFT_TURN,1,100.0,0.0
2061,1,LEFT_TURN,1,100.0,0.0
2062,1,LEFT_TURN,1,100.0,0.0
2064,0,LEFT_TURN,1,100.0,0.0
2069,1,LEFT_TURN,1,100.0,0.0
2074,0,LEFT_TURN,1,100.0,0.0
2075,1,LEFT_TURN,1,100.0,0.0
2083,0,LEFT_TURN,1,100.0,0.0
2084,0,LEFT_TURN,1,100.0,0.0
2088,0,LEFT_TURN,1,100.0,0.0
2089,0,LEFT_TURN,1,100.0,0.0
2092,0,LEFT_TURN,1,197.8,0.0
2093,1,LEFT_TURN,1,100.0,0.0
2104,0,LEFT_TURN,1,100.0,0.0
2105,0,LEFT_TURN,1,100.0,0.0
2107,0,LEFT_TURN,1,100.0,0.0
2107,1,LEFT_TURN,1,100.0,0.0
2110,0,LEFT_TURN,1,100.0,0.0
2118,0,LEFT_TURN,1,100.0,0.0
2122,0,LEFT_TURN,1,100.0,0.0
2132,0,LEFT_TURN,1,180.0,0.0
2139,0,LEFT_TURN,1,100.0,0.0
2145,0,LEFT_TURN,1,100.0,0.0
2146,1,LEFT_TURN,1,185.0,0.0
2149,0,LEFT_TURN,1,85.4,0.0
2151,0,LEFT_TURN,1,14.6,0.0
2162,0,LEFT_TURN,1,100.0,0.0
2164,1,LEFT_TURN,1,100.0,0.0
2166,0,LEFT_TURN,1,100.0,0.0
2173,0,LEFT_TURN,1,59.7,0.0
2174,0,RIGHT_TURN,1,100.0,0.0
2176,0,LEFT_TURN,1,100.0,0.0
2180,0,LEFT_TURN,1,100.0,0.0
2181,0,LEFT_TURN,1,100.0,0.0
2183,0,LEFT_TURN,1,100.0,0.0
2185,0,LEFT_TURN,1,100.0,0.0
2190,0,LEFT_TURN,1,100.0,0.0
2190,1,LEFT_TURN,1,100.0,0.0
2193,0,LEFT_TURN,1,100.0,0.0
2202,1,LEFT_TURN,1,100.0,0.0
2203,1,LEFT_TURN,1,100.0,0.0
2208,0,LEFT_TURN,1,100.0,0.0
2219,0,LEFT_TURN,1,86.9,0.0
2225,1,LEFT_TURN,1,100.0,0.0
2226,0,LEFT_TURN,1,100.0,0.0
2230,1,LEFT_TURN,1,100.0,0.0
2232,0,LEFT_TURN,1,100.0,0.0
2233,0,LEFT_TURN,1,100.0,0.0
2248,0,LEFT_TURN,1,100.0,0.0
2257,0,LEFT_TURN,1,100.0,0.0
2258,0,LEFT_TURN,1,100.0,0.0
2262,0,LEFT_TURN,1,50.8,0.0
2262,1,LEFT_TURN,1,50.8,0.0
2273,0,LEFT_TURN,1,100.0,0.0
2284,1,LEFT_TURN,1,100.0,0.0
2301,0,LEFT_TURN,1,100.0,0.0
2320,0,RIGHT_MERGE,1,100.0,0.0
2334,0,LEFT_TURN,1,100.0,0.0
2340,0,LEFT_TURN,1,51.6,0.0
2346,0,LEFT_TURN,1,51.2,0.0
2350,0,LEFT_TURN,1,100.0,0.0
2354,0,LEFT_TURN,1,100.0,0.0
2357,0,LEFT_TURN,1,100.0,0.0
2367,1,LEFT_TURN,1,100.0,0.0
2373,0,LEFT_TURN,1,100.0,0.0
2385,0,LEFT_TURN,1,100.0,0.0
2391,0,RIGHT_MERGE,1,500.0,0.0
2406,0,LEFT_TURN,1,100.0,0.0
2409,0,LEFT_TURN,1,100.0,0.0
2410,0,LEFT_TURN,1,100.0,0.0
2413,0,RIGHT_TURN,1,100.0,0.0
2414,0,RIGHT_TURN,1,100.0,0.0
2416,0,LEFT_TURN,1,100.0,0.0
2417,0,LEFT_TURN,1,100.0,0.0
2418,0,LEFT_TURN,1,100.0,0.0
2421,0,RIGHT_TURN,1,100.0,0.0
2423,0,RIGHT_TURN,1,100.0,0.0
2429,0,LEFT_TURN,1,100.0,0.0
2432,0,LEFT_TURN,1,100.0,0.0
2436,0,LEFT_TURN,1,100.0,0.0
2438,0,RIGHT_TURN,1,100.0,0.0
2440,0,RIGHT_TURN,1,100.0,0.0
2441,0,LEFT_TURN,1,100.0,0.0
2444,0,LEFT_TURN,1,100.0,0.0
2447,0,LEFT_TURN,1,100.0,0.0
2453,1,LEFT_TURN,1,100.0,0.0
2462,0,LEFT_TURN,1,100.0,0.0
2469,0,LEFT_TURN,1,64.3,0.0
2469,1,LEFT_TURN,1,64.3,0.0
2470,0,LEFT_TURN,1,100.0,0.0
2475,0,LEFT_TURN,1,100.0,0.0
2482,1,LEFT_TURN,1,100.0,0.0
2484,0,RIGHT_MERGE,1,160.0,0.0
2485,0,LEFT_TURN,1,100.0,0.0
2485,1,LEFT_TURN,1,100.0,0.0
2494,0,LEFT_TURN,1,88.7,0.0
2495,0,LEFT_TURN,1,88.8,0.0
2514,0,LEFT_TURN,1,100.0,0.0
2518,0,LEFT_TURN,1,100.0,0.0
2519,0,LEFT_TURN,1,60.5,0.0
2519,1,LEFT_TURN,1,60.5,0.0
